"","x"
"194","consensus"
"195","forecasts"
"196","inflaciones"
"197","moneda"
"198","pais"
"199","movimientos"
"200","paridades"
"201","hecho"
"202","escenario"
"203","leve"
"204","apreciacion"
"205","politica"
"206","monetaria"
"207","dolar"
"208","mercados"
"209","internacionales"
"210","expectativas"
"211","inflacion"
"212","preve"
"213","inflacion"
"214","externa"
"215","relevante"
"216","ubicara"
"217","niveles"
"218","variacion"
"219","significativamente"
"220","inferiores"
"221","observados"
"222","cinco"
"223","ello"
"224","pues"
"225","tendencia"
"226","apreciacion"
"227","dolar"
"228","sumarian"
"229","registros"
"230","inflacion"
"231","menores"
"232","observados"
"233","respuesta"
"234","acciones"
"235","politica"
"236","monetaria"
"237","economias"
"238","emergentes"
"239","menor"
"240","dinamismo"
"241","economias"
"242","desarrolladas"
"243","precios"
"244","materias"
"245","primas"
"246","indico"
"247","aumento"
"248","persistente"
"249","precios"
"250","materias"
"251","primas"
"252","reflejado"
"253","incremento"
"254","inflacion"
"255","mundial"
"256","mostrando"
"257","alta"
"258","volatilidad"
"259","mantenido"
"260","niveles"
"261","elevados"
"262","gran"
"263","incertidumbre"
"264","asociada"
"265","evolucion"
"266","futura"
"267","casos"
"268","precios"
"269","alcanzaron"
"270","maximos"
"271","barra"
"272","corresponde"
"273","proyeccion"
"274","inflacion"
"275","historicos"
"276","causas"
"277","fenomeno"
"278","variadas"
"279","difieren"
"280","mayormente"
"281","mes"
"282","calculan"
"283","promedios"
"284","geometricos"
"285","senalado"
"286","informes"
"287","previos"
"288","sentido"
"289","responderian"
"290","inflaciones"
"291","proyectadas"
"292","economias"
"293","economica"
"294","principal"
"295","demanda"
"296","mantenido"
"297","robusta"
"298","particular"
"299","consensus"
"300","forecasts"
"301","economias"
"302","emergentes"
"303","junto"
"304","oferta"
"305","respondido"
"306","suficiente"
"307","accion"
"308","agentes"
"309","especuladores"
"310","mercado"
"311","explicaria"
"312","menor"
"313","movimientos"
"314","precios"
"315","materias"
"316","primas"
"317","diversos"
"318","inflacion"
"319","mundial"
"320","analistas"
"321","mercado"
"322","ajustado"
"323","proyecciones"
"324","largo"
"325","variacion"
"326","moneda"
"327","materias"
"328","primas"
"329","sugiriendo"
"330","altos"
"331","precios"
"332","persistentes"
"333","f"
"334","f"
"335","modos"
"336","generalidad"
"337","materias"
"338","primas"
"339","precios"
"340","actuales"
"341","encima"
"342","sugieren"
"343","fundamentos"
"344","largo"
"345","unidos"
"346","implicar"
"347","ajustes"
"348","baja"
"349","futuro"
"350","australia"
"351","precio"
"352","petroleo"
"353","ubica"
"354","barril"
"355","wti"
"356","nueva"
"357","zelanda"
"358","atras"
"359","aumento"
"360","percibe"
"361","argentina"
"362","persistente"
"363","ido"
"364","mano"
"365","correcciones"
"366","proyecciones"
"367","mexico"
"368","largo"
"369","crudo"
"370","barril"
"371","wti"
"372","actualidad"
"373","cambio"
"374","ipe"
"375","percepcion"
"376","largo"
"377","responde"
"378","general"
"379","creencia"
"380","definicion"
"381","glosario"
"382","economia"
"383","mundial"
"384","pese"
"385","debilidad"
"386","economias"
"387","desarrolladas"
"388","sigue"
"389","estimacion"
"390","f"
"391","proyeccion"
"392","creciendo"
"393","fuerza"
"394","oferta"
"395","capaz"
"396","ajustarse"
"397","rapidez"
"398","necesaria"
"399","basado"
"400","precios"
"401","implicitos"
"402","contratos"
"403","futuros"
"404","banco"
"405","consensus"
"406","forecast"
"407","fondo"
"408","monetario"
"409","internacional"
"410","escenario"
"411","precios"
"412","superiores"
"413","cerca"
"414","previstos"
"415","alcanzan"
"416","barril"
"417","petroleo"
"418","wti"
"419","respectivamente"
"420","precio"
"421","petroleo"
"422","wti"
"423","futuros"
"424","barril"
"425","precio"
"426","cobre"
"427","permanecido"
"428","elevado"
"429","tiempo"
"430","previsto"
"431","informes"
"432","previos"
"433","va"
"434","alcanza"
"435","libra"
"436","bolsa"
"437","metales"
"438","londres"
"439","bml"
"440","petroleo"
"441","precio"
"442","cobre"
"443","registro"
"444","maximo"
"445","historico"
"446","principios"
"447","cotizo"
"448","libra"
"449","bml"
"450","mantencion"
"451","precios"
"452","cercanos"
"453","libra"
"454","obedece"
"455","factores"
"456","oferta"
"457","menor"
"458","produccion"
"459","efectiva"
"460","importantes"
"461","oferentes"
"462","diversos"
"463","conflictos"
"464","laborales"
"465","grandes"
"466","yacimientos"
"467","contexto"
"468","demanda"
"469","mantenido"
"470","firme"
"471","mercado"
"472","expectativas"
"473","precios"
"474","largo"
"475","movido"
"476","medio"
"477","libra"
"478","futuros"
"479","consideran"
"480","habiles"
"481","ipom"
"482","pagina"
"483","escenario"
"484","internacional"
"485","estimaciones"
"486","coherente"
"487","mercado"
"488","cobre"
"489","dispersion"
"490","proyecciones"
"491","precios"
"492","estimacion"
"493","realizo"
"494","comite"
"495","expertos"
"496","convoco"
"497","ministerio"
"498","centavos"
"499","dolar"
"500","libra"
"501","hacienda"
"502","definir"
"503","parametros"
"504","estructurales"
"505","marco"
"506","fijacion"
"507","presupuestaria"
"508","escenario"
"509","precios"
"510","superiores"
"511","previstos"
"512","libra"
"513","bml"
"514","respectivamente"
"515","precios"
"516","alimentos"
"517","basicos"
"518","tardiamente"
"519","metales"
"520","petroleo"
"521","aumentado"
"522","modo"
"523","importante"
"524","medio"
"525","ejemplo"
"526","precio"
"527","internacional"
"528","trigo"
"529","maiz"
"530","hoy"
"531","supera"
"532","cerca"
"533","niveles"
"534","principios"
"535","arroz"
"536","hace"
"537","casi"
"538","pese"
"539","comparacion"
"540","ipom"
"541","observan"
"542","caidas"
"543","importantes"
"544","precios"
"545","originadas"
"546","expectativas"
"547","positivas"
"548","oferta"
"549","niveles"
"550","precios"
"551","alimentos"
"552","superan"
"553","proyecciones"
"554","informadas"
"555","creces"
"556","hace"
"557","medio"
"558","futuros"
"559","consideran"
"560","habiles"
"561","escenario"
"562","proyeccion"
"563","basado"
"564","futuros"
"565","fuentes"
"566","banco"
"567","barclays"
"568","cochilco"
"569","deutsche"
"570","analisis"
"571","determinantes"
"572","estrechez"
"573","actual"
"574","mercados"
"575","bank"
"576","jp"
"577","morgan"
"578","chase"
"579","merrill"
"580","lynch"
"581","scotiabank"
"582","preve"
"583","precio"
"584","petroleo"
"585","alimentos"
"586","basicos"
"587","mantendran"
"588","niveles"
"589","actuales"
"590","proximos"
"591","precios"
"592","alimentos"
"593","supuesto"
"594","tonica"
"595","sujeto"
"596","indices"
"597","amplio"
"598","abanico"
"599","riesgo"
"600","pudiendo"
"601","descartarse"
"602","escenarios"
"603","direccion"
"604","u"
"605","mercados"
"606","financieros"
"607","diferencia"
"608","ocurre"
"609","buena"
"610","economias"
"611","emergentes"
"612","preocupacion"
"613","banco"
"614","centrales"
"615","economias"
"616","desarrolladas"
"617","especial"
"618","debate"
"619","escenario"
"620","inflacion"
"621","aumento"
"622","tension"
"623","persiste"
"624","mercados"
"625","financieros"
"626","bien"
"627","reducido"
"628","temores"
"629","impacto"
"630","estabilidad"
"631","financiera"
"632","ello"
"633","dado"
"634","contexto"
"635","problemas"
"636","liquidez"
"637","precio"
"638","maiz"
"639","corresponde"
"640","contrato"
"641","maiz"
"642","amarillo"
"643","spot"
"644","precio"
"645","mercados"
"646","monetarios"
"647","mantienen"
"648","premios"
"649","corto"
"650","trigo"
"651","corresponde"
"652","red"
"653","soft"
"654","winter"
"655","spot"
"656","precio"
"657","arroz"
"658","corresponde"
"659","retornan"
"660","niveles"
"661","vigentes"
"662","previos"
"663","inicio"
"664","crisis"
"665","subprime"
"666","grano"
"667","largo"
"668","bruto"
"669","precio"
"670","carne"
"671","corresponde"
"672","contratos"
"673","futuros"
"674","ello"
"675","obligado"
"676","banco"
"677","centrales"
"678","prorrogar"
"679","ampliar"
"680","novillos"
"681","gsci"
"682","agricolas"
"683","calculado"
"684","goldman"
"685","sachs"
"686","medidas"
"687","adoptadas"
"688","proveer"
"689","liquidez"
"690","mercado"
"691","importantes"
"692","entidades"
"693","financieras"
"694","seguido"
"695","anunciando"
"696","perdidas"
"697","asociadas"
"698","crisis"
"699","subprime"
"700","mantenido"
"701","premios"
"702","riesgo"
"703","elevados"
"704","liquidez"
"705","mercados"
"706","internacionales"
"707","premios"
"708","corto"
"709","destaca"
"710","agencias"
"711","hipotecarias"
"712","garantia"
"713","implicita"
"714","fannie"
"715","mae"
"716","freddie"
"717","mac"
"718","siguen"
"719","sometidas"
"720","presion"
"721","pese"
"722","haber"
"723","apoyadas"
"724","decididamente"
"725","autoridades"
"726","economicas"
"727","pais"
"728","luego"
"729","temores"
"730","capitalizacion"
"731","generaran"
"732","fuertes"
"733","caidas"
"734","cotizacion"
"735","bursatil"
"736","eventos"
"737","desencadenados"
"738","crisis"
"739","subprime"
"740","menor"
"741","dinamismo"
"742","demanda"
"743","estadounidense"
"744","depreciacion"
"745","dolar"
"746","contribuido"
"747","reducir"
"748","deficit"
"749","cuenta"
"750","corriente"
"751","pasado"
"752","representar"
"753","pib"
"754","economia"
"755","menos"
"756","actualidad"
"757","considerando"
"758","precios"
"759","tendencia"
"760","petroleo"
"761","ajuste"
"762","incluso"
"763","pib"
"764","desequilibrio"
"765","sigue"
"766","significativo"
"767","premio"
"768","corresponde"
"769","diferencia"
"770","tasa"
"771","libo"
"772","tres"
"773","tasa"
"774","politica"
"775","monetaria"
"776","tres"
"777","color"
"778","claro"
"779","corresponde"
"780","luego"
"781","gobierno"
"782","estadounidense"
"783","anuncio"
"784","intervencion"
"785","proyeccion"
"786","contratos"
"787","futuros"
"788","cuales"
"789","previos"
"790","agencias"
"791","politica"
"792","monetaria"
"793","mencionado"
"794","reiteradamente"
"795","mantencion"
"796","prolongada"
"797","premios"
"798","riesgo"
"799","cds"
"800","sector"
"801","bancario"
"802","desbalances"
"803","globales"
"804","elemento"
"805","riesgo"
"806","debe"
"807","corregido"
"808","trayectoria"
"809","deficit"
"810","cuenta"
"811","corriente"
"812","aparece"
"813","elemento"
"814","rescatable"
"815","proceso"
"816","lado"
"817","atenuado"
"818","tendencia"
"819","depreciacion"
"820","dolar"
"821","incluso"
"822","ultimas"
"823","semanas"
"824","tendido"
"825","apreciarse"
"826","respecto"
"827","principales"
"828","socios"
"829","comerciales"
"830","obstante"
"831","respecto"
"832","monedas"
"833","latinoamericanas"
"834","dolar"
"835","depreciado"
"836","espera"
"837","principales"
"838","economias"
"839","desarrolladas"
"840","actuales"
"841","interes"
"842","politica"
"843","mantengan"
"844","tiempo"
"845","prolongado"
"846","debate"
"847","preocupaciones"
"848","inflacion"
"849","crecimiento"
"850","reflejo"
"851","cambios"
"852","expectativas"
"853","tasa"
"854","fondos"
"855","federales"
"856","consideraban"
"857","tres"
"858","aumentos"
"859","vision"
"860","cambio"
"861","preve"
"862","movimientos"
"863","tasa"
"864","definicion"
"865","glosario"
"866","simple"
"867","principales"
"868","banco"
"869","resta"
"870","tras"
"871","aumento"
"872","unidos"
"873","citigroup"
"874","goldman"
"875","sachs"
"876","lehman"
"877","brothers"
"878","merrill"
"879","lynch"
"880","europa"
"881","bnp"
"882","paribas"
"883","societe"
"884","generale"
"885","deutsche"
"886","bank"
"887","ubs"
"888","determinado"
"889","espera"
"890","banco"
"891","vuelva"
"892","mover"
"893","ag"
"894","hsbc"
"895","bank"
"896","barclays"
"897","bank"
"898","lloyds"
"899","tsb"
"900","bank"
"901","royal"
"902","tasa"
"903","queda"
"904","tampoco"
"905","preven"
"906","bank"
"907","scotland"
"908","agencias"
"909","fannie"
"910","mae"
"911","freddie"
"912","mac"
"913","economias"
"914","desarrolladas"
"915","interes"
"916","largo"
"917","mostrado"
"918","volatilidad"
"919","ubicandose"
"920","neto"
"921","niveles"
"922","similares"
"923","vigentes"
"924","ipom"
"925","mes"
"926","aumentaron"
"927","respuesta"
"928","temores"
"929","inflacion"
"930","cifras"
"931","actividad"
"932","efectiva"
"933","superiores"
"934","anticipadas"
"935","primeros"
"936","cayeron"
"937","saldo"
"938","cuenta"
"939","corriente"
"940","cambio"
"941","tcr"
"942","renovados"
"943","temores"
"944","efectos"
"945","actividad"
"946","eventos"
"947","pib"
"948","mercados"
"949","financieros"
"950","busqueda"
"951","activos"
"952","seguros"
"953","elevados"
"954","precios"
"955","petroleo"
"956","condiciones"
"957","financieras"
"958","economias"
"959","emergentes"
"960","primeros"
"961","seguido"
"962","relativamente"
"963","resilientes"
"964","eventos"
"965","mercados"
"966","desarrollados"
"967","comenzado"
"968","mostrar"
"969","signos"
"970","deterioro"
"971","premios"
"972","riesgo"
"973","soberano"
"974","aumentado"
"975","bolsas"
"976","sufrido"
"977","caidas"
"978","significativas"
"979","mercados"
"980","desarrollados"
"981","flujos"
"982","fondos"
"983","inversion"
"984","economias"
"985","emergentes"
"986","clara"
"987","tendencia"
"988","baja"
"989","destacando"
"990","menor"
"991","emision"
"992","bonos"
"993","corporativos"
"994","da"
"995","cuenta"
"996","preferencia"
"997","instrumentos"
"998","seguros"
"999","inversionistas"
"1000","saldo"
"1001","cuenta"
"1002","corriente"
"1003","ajustado"
"1004","importaciones"
"1005","petroleo"
"1006","crecimiento"
"1007","mundial"
"1008","valoradas"
"1009","precios"
"1010","tendencia"
"1011","ultima"
"1012","asume"
"1013","lineal"
"1014","aumento"
"1015","indica"
"1016","depreciacion"
"1017","dolar"
"1018","crecimiento"
"1019","economia"
"1020","banco"
"1021","bureau"
"1022","economic"
"1023","analysis"
"1024","reserva"
"1025","federal"
"1026","unidos"
"1027","mundial"
"1028","supero"
"1029","expectativas"
"1030","situarse"
"1031","embargo"
"1032","especialmente"
"1033","economias"
"1034","desarrolladas"
"1035","persisten"
"1036","perspectivas"
"1037","traspaso"
"1038","crisis"
"1039","financiera"
"1040","sector"
"1041","expectativas"
"1042","desaceleracion"
"1043","actividad"
"1044","solo"
"1045","postergado"
"1046","indicadores"
"1047","coyunturales"
"1048","apuntan"
"1049","sentido"
"1050","correcciones"
"1051","proyecciones"
"1052","relacionan"
"1053","incorporacion"
"1054","cifras"
"1055","efectivas"
"1056","modos"
"1057","bien"
"1058","crecimiento"
"1059","mundial"
"1060","esperado"
"1061","proximo"
"1062","menor"
"1063","superior"
"1064","veinte"
"1065","apoyado"
"1066","desempeno"
"1067","economias"
"1068","emergentes"
"1069","espera"
"1070","recuperacion"
"1071","economia"
"1072","mundial"
"1073","particularmente"
"1074","economias"
"1075","desarrolladas"
"1076","escenario"
"1077","internacional"
"1078","postergado"
"1079","normalizacion"
"1080","ciclos"
"1081","expectativas"
"1082","tasa"
"1083","politica"
"1084","monetaria"
"1085","economias"
"1086","politica"
"1087","monetaria"
"1088","escenario"
"1089","externo"
"1090","desarrolladas"
"1091","probable"
"1092","contiene"
"1093","proyeccion"
"1094","crecimiento"
"1095","mundial"
"1096","mantendria"
"1097","dinamismo"
"1098","historico"
"1099","proximos"
"1100","contribuiria"
"1101","generacion"
"1102","holguras"
"1103","plano"
"1104","interno"
"1105","economia"
"1106","expandio"
"1107","trimestral"
"1108","anualizado"
"1109","respecto"
"1110","previo"
"1111","destacandose"
"1112","desacumulacion"
"1113","inventarios"
"1114","aporte"
"1115","sector"
"1116","externo"
"1117","bien"
"1118","ello"
"1119","conjunto"
"1120","expansion"
"1121","cuarto"
"1122","da"
"1123","cuenta"
"1124","economia"
"1125","encuentra"
"1126","recesion"
"1127","perspectivas"
"1128","segunda"
"1129","mitad"
"1130","siguen"
"1131","malas"
"1132","panorama"
"1133","consumo"
"1134","auspicioso"
"1135","pues"
"1136","estima"
"1137","impulso"
"1138","imprimio"
"1139","paquete"
"1140","estimulo"
"1141","fiscal"
"1142","componente"
"1143","demanda"
"1144","finalizo"
"1145","mercado"
"1146","laboral"
"1147","siguen"
"1148","destruyendo"
"1149","empleos"
"1150","indicadores"
"1151","confianza"
"1152","cercanos"
"1153","elaborado"
"1154","contratos"
"1155","futuros"
"1156","interes"
"1157","habiles"
"1158","minimos"
"1159","historicos"
"1160","riqueza"
"1161","hogar"
"1162","continua"
"1163","reduciendose"
"1164","ajuste"
"1165","mercado"
"1166","inmobiliario"
"1167","sigue"
"1168","profundizando"
"1169","inversion"
"1170","fuentes"
"1171","banco"
"1172","residencial"
"1173","contraido"
"1174","digitos"
"1175","principios"
"1176","inversion"
"1177","maquinaria"
"1178","equipo"
"1179","presenta"
"1180","variacion"
"1181","negativas"
"1182","modo"
"1183","escenario"
"1184","interes"
"1185","largo"
"1186","economias"
"1187","desarrolladas"
"1188","desaceleracion"
"1189","prolongada"
"1190","luego"
"1191","dinamismo"
"1192","observo"
"1193","economia"
"1194","cuarto"
"1195","pib"
"1196","mostro"
"1197","contraccion"
"1198","trimestral"
"1199","anualizado"
"1200","respecto"
"1201","previo"
"1202","ello"
"1203","explica"
"1204","deterioro"
"1205","consumo"
"1206","menor"
"1207","dinamismo"
"1208","inversion"
"1209","reduccion"
"1210","impulso"
"1211","sector"
"1212","externo"
"1213","indicadores"
"1214","coyunturales"
"1215","encuestas"
"1216","confianza"
"1217","empresasrial"
"1218","deterioro"
"1219","mercado"
"1220","laboral"
"1221","preven"
"1222","panorama"
"1223","persistira"
"1224","incrementado"
"1225","expectativas"
"1226","panorama"
"1227","debilidad"
"1228","persista"
"1229","pib"
"1230","contrajo"
"1231","trimestral"
"1232","anualizado"
"1233","crecio"
"1234","expectativas"
"1235","mercado"
"1236","corresponde"
"1237","bonos"
"1238","gobierno"
"1239","nominales"
"1240","indicadores"
"1241","coyunturales"
"1242","dando"
"1243","cuenta"
"1244","marcado"
"1245","deterioro"
"1246","economia"
"1247","contraccion"
"1248","consumo"
"1249","inversion"
"1250","destaca"
"1251","aporte"
"1252","negativo"
"1253","sector"
"1254","externo"
"1255","componente"
"1256","bolsas"
"1257","mundiales"
"1258","premios"
"1259","riesgo"
"1260","hace"
"1261","sostenia"
"1262","crecimiento"
"1263","economia"
"1264","delante"
"1265","reduccion"
"1266","demanda"
"1267","externa"
"1268","europa"
"1269","seguira"
"1270","indices"
"1271","mermando"
"1272","aporte"
"1273","sector"
"1274","crecimiento"
"1275","asimismo"
"1276","perspectivas"
"1277","inversion"
"1278","empeorando"
"1279","consumo"
"1280","privado"
"1281","tampoco"
"1282","dado"
"1283","senales"
"1284","positivas"
"1285","asia"
"1286","emergente"
"1287","sigue"
"1288","impulsada"
"1289","dinamico"
"1290","crecimiento"
"1291","india"
"1292","demanda"
"1293","importaciones"
"1294","resto"
"1295","region"
"1296","crecimiento"
"1297","modero"
"1298","primera"
"1299","mitad"
"1300","relacion"
"1301","excepcionales"
"1302","mostradas"
"1303","previos"
"1304","economia"
"1305","crece"
"1306","digitos"
"1307","liderada"
"1308","dinamismo"
"1309","inversion"
"1310","exportaciones"
"1311","escenario"
"1312","preve"
"1313","crecimiento"
"1314","chino"
"1315","ira"
"1316","moderando"
"1317","lentamente"
"1318","respondiendo"
"1319","demanda"
"1320","externa"
"1321","debilitada"
"1322","economias"
"1323","desarrolladas"
"1324","pib"
"1325","crecera"
"1326","casi"
"1327","bolsas"
"1328","corresponden"
"1329","indicador"
"1330","region"
"1331","msci"
"1332","siguientes"
"1333","fuentes"
"1334","morgan"
"1335","stanley"
"1336","capital"
"1337","international"
"1338","politica"
"1339","monetaria"
"1340","principales"
"1341","economias"
"1342","latinoamericanas"
"1343","mantienen"
"1344","crecimiento"
"1345","flujos"
"1346","netos"
"1347","fondos"
"1348","inversion"
"1349","economias"
"1350","dinamico"
"1351","impulsadas"
"1352","demanda"
"1353","interna"
"1354","emergentes"
"1355","debilitamiento"
"1356","consumo"
"1357","privado"
"1358","compensado"
"1359","gasto"
"1360","acumulado"
"1361","publico"
"1362","sigue"
"1363","enmarcado"
"1364","dentro"
"1365","metas"
"1366","superavit"
"1367","primario"
"1368","establecidas"
"1369","autoridades"
"1370","perspectivas"
"1371","sugieren"
"1372","menor"
"1373","aporte"
"1374","exportaciones"
"1375","netas"
"1376","consumo"
"1377","privado"
"1378","seguira"
"1379","impulsando"
"1380","crecimiento"
"1381","apoyado"
"1382","fortaleza"
"1383","mercado"
"1384","laboral"
"1385","economia"
"1386","mexicana"
"1387","desacelerado"
"1388","debilidad"
"1389","afectado"
"1390","exportaciones"
"1391","pais"
"1392","consumo"
"1393","sigue"
"1394","moderandose"
"1395","frente"
"1396","mercado"
"1397","laboral"
"1398","menos"
"1399","dinamico"
"1400","menor"
"1401","ingreso"
"1402","disponible"
"1403","hogar"
"1404","consumo"
"1405","privado"
"1406","sigue"
"1407","motor"
"1408","economia"
"1409","argentina"
"1410","desacelerado"
"1411","margen"
"1412","embargo"
"1413","persisten"
"1414","riesgo"
"1415","asociados"
"1416","diversos"
"1417","conflictos"
"1418","sociales"
"1419","afectado"
"1420","exportaciones"
"1421","ambiente"
"1422","inversion"
"1423","proyecciones"
"1424","crecimiento"
"1425","region"
"1426","mantienen"
"1427","estables"
"1428","mejoran"
"1429","levemente"
"1430","siguientes"
"1431","cifras"
"1432","semanales"
"1433","europa"
"1434","emergente"
"1435","medio"
"1436","oriente"
"1437","africa"
"1438","emerging"
"1439","portfolio"
"1440","fund"
"1441","research"
"1442","crecimiento"
"1443","mundial"
"1444","variacion"
"1445","encuesta"
"1446","pmi"
"1447","manufacturero"
"1448","prom"
"1449","prom"
"1450","balance"
"1451","respuestas"
"1452","f"
"1453","f"
"1454","f"
"1455","mundial"
"1456","mundial"
"1457","tcn"
"1458","mercado"
"1459","unidos"
"1460","resto"
"1461","asia"
"1462","exp"
"1463","productos"
"1464","basicos"
"1465","socios"
"1466","comerciales"
"1467","estimacion"
"1468","f"
"1469","proyeccion"
"1470","definiciones"
"1471","glosario"
"1472","pmi"
"1473","encuesta"
"1474","gerentes"
"1475","compras"
"1476","respecto"
"1477","evaluacion"
"1478","fuentes"
"1479","banco"
"1480","muestra"
"1481","banco"
"1482","inversion"
"1483","consensus"
"1484","forecast"
"1485","fondo"
"1486","monetario"
"1487","produccion"
"1488","nuevas"
"1489","ordenes"
"1490","inventarios"
"1491","pivote"
"1492","internacional"
"1493","suma"
"1494","crecimiento"
"1495","mundial"
"1496","proyectado"
"1497","proximo"
"1498","bien"
"1499","inferior"
"1500","verifico"
"1501","continua"
"1502","significativo"
"1503","crecimiento"
"1504","mundial"
"1505","perspectiva"
"1506","historica"
"1507","apoyado"
"1508","fundamentalmente"
"1509","variacion"
"1510","dinamismo"
"1511","espera"
"1512","mantenga"
"1513","desempeno"
"1514","economias"
"1515","emergentes"
"1516","contexto"
"1517","precios"
"1518","materias"
"1519","primas"
"1520","alimentos"
"1521","basicos"
"1522","permaneceran"
"1523","altos"
"1524","forma"
"1525","expectativas"
"1526","consenso"
"1527","consideran"
"1528","persistencia"
"1529","desacople"
"1530","crecimiento"
"1531","mundo"
"1532","desarrollado"
"1533","emergente"
"1534","respecto"
"1535","riesgo"
"1536","lado"
"1537","posible"
"1538","desacople"
"1539","tal"
"1540","escenario"
"1541","menor"
"1542","actividad"
"1543","mundial"
"1544","alivie"
"1545","precios"
"1546","materias"
"1547","primas"
"1548","inflacion"
"1549","lado"
"1550","posible"
"1551","inflacion"
"1552","especial"
"1553","economias"
"1554","desarrolladas"
"1555","persistente"
"1556","requiera"
"1557","ajustes"
"1558","bruscos"
"1559","interes"
"1560","resolver"
"1561","problema"
"1562","inflacionario"
"1563","clasificaciones"
"1564","region"
"1565","corresponden"
"1566","definidas"
"1567","fmi"
"1568","f"
"1569","proyeccion"
"1570","fondo"
"1571","monetario"
"1572","internacional"
"1573","mercados"
"1574","financieros"
"1575","revisa"
"1576","evolucion"
"1577","reciente"
"1578","principales"
"1579","variables"
"1580","brecha"
"1581","interes"
"1582","reales"
"1583","tpm"
"1584","menos"
"1585","tasa"
"1586","mercados"
"1587","financieros"
"1588","perspectiva"
"1589","politica"
"1590","monetaria"
"1591","interes"
"1592","neutral"
"1593","indicada"
"1594","politica"
"1595","monetaria"
"1596","escenario"
"1597","inflacion"
"1598","enfrenta"
"1599","economia"
"1600","deteriorado"
"1601","drasticamente"
"1602","riesgo"
"1603","convergencia"
"1604","inflacion"
"1605","introdujo"
"1606","repeticion"
"1607","coyuntura"
"1608","inflacion"
"1609","significativamente"
"1610","desviada"
"1611","meta"
"1612","llevado"
"1613","consejo"
"1614","aumentar"
"1615","tasa"
"1616","politica"
"1617","monetaria"
"1618","tpm"
"1619","reuniones"
"1620","accionar"
"1621","fin"
"1622","acotar"
"1623","propagacion"
"1624","nuevos"
"1625","precios"
"1626","salarios"
"1627","mantener"
"1628","expectativas"
"1629","inflacion"
"1630","niveles"
"1631","coherentes"
"1632","meta"
"1633","asimismo"
"1634","sesgo"
"1635","politica"
"1636","monetaria"
"1637","vuelto"
"1638","restrictivo"
"1639","indicando"
