X,x,fecha
108,proceso,21_1
109,iterativo,21_1
110,interactivo,21_1
111,alrededor,21_1
112,seis,21_1
113,semanas,21_1
114,reunion,21_1
115,politica,21_1
116,monetaria,21_1
117,sanciona,21_1
118,politica,21_1
119,monetaria,21_1
120,correspondiente,21_1
121,consejo,21_1
122,demas,21_1
123,miembros,21_1
124,participantes,21_1
125,reunion,21_1
126,reciben,21_1
127,cuestionario,21_1
128,auscultando,21_1
129,opiniones,21_1
130,curso,21_1
131,fu,21_1
132,turo,21_1
133,probable,21_1
134,variables,21_1
135,inciden,21_1
136,inflacion,21_1
137,crecimien,21_1
138,actividad,21_1
139,economica,21_1
140,precisos,21_1
141,variable,21_1
142,solicita,21_1
143,enfaticen,21_1
144,cambios,21_1
145,tendencia,21_1
146,intensidad,21_1
147,cambios,21_1
148,respecto,21_1
149,previo,21_1
150,inmediatamente,21_1
151,luz,21_1
152,acumulada,21_1
153,entonces,21_1
154,pide,21_1
155,analisis,21_1
156,riesgo,21_1
157,pudieran,21_1
158,desplazar,21_1
159,variable,21_1
160,cuestion,21_1
161,trayectoria,21_1
162,probable,21_1
163,uso,21_1
164,intenso,21_1
165,conjunto,21_1
166,modelos,21_1
167,disticos,21_1
168,banco,21_1
169,inicia,21_1
170,proceso,21_1
171,retroalimentacion,21_1
172,consejeros,21_1
173,demas,21_1
174,participantes,21_1
175,reuniones,21_1
176,politica,21_1
177,monetaria,21_1
178,equipo,21_1
179,tecnico,21_1
180,permite,21_1
181,ir,21_1
182,configurando,21_1
183,cuerpo,21_1
184,escenario,21_1
185,proyectar,21_1
186,inflacion,21_1
187,crecimiento,21_1
188,siguientes,21_1
189,ocho,21_1
190,trimes,21_1
191,tres,21_1
192,analisis,21_1
193,riesgo,21_1
194,lleva,21_1
195,consideracion,21_1
196,escenarios,21_1
197,alternativos,21_1
198,bien,21_1
199,aparecen,21_1
200,menos,21_1
201,probables,21_1
202,suficiente,21_1
203,mente,21_1
204,importantes,21_1
205,considerarlos,21_1
206,darles,21_1
207,seguimiento,21_1
208,escenario,21_1
209,forma,21_1
210,abanico,21_1
211,presentan,21_1
212,politica,21_1
213,monetaria,21_1
214,inflacion,21_1
215,crecimiento,21_1
216,resumen,21_1
217,forma,21_1
218,visual,21_1
219,pro,21_1
220,ceso,21_1
221,proyeccion,21_1
222,termino,21_1
223,escenario,21_1
224,representa,21_1
225,juicio,21_1
226,consejo,21_1
227,trayectoria,21_1
228,probable,21_1
229,inflacion,21_1
230,crecimiento,21_1
231,siguientes,21_1
232,ocho,21_1
233,trimestres,21_1
234,condicional,21_1
235,supuesto,21_1
236,tasa,21_1
237,interes,21_1
238,politica,21_1
239,mantiene,21_1
240,constante,21_1
241,dado,21_1
242,objetivo,21_1
243,politica,21_1
244,monetaria,21_1
245,mantener,21_1
246,inflacion,21_1
247,estable,21_1
248,centro,21_1
249,rango,21_1
250,forma,21_1
251,permanente,21_1
252,tasa,21_1
253,interes,21_1
254,politica,21_1
255,fije,21_1
256,debe,21_1
257,coherente,21_1
258,proyec,21_1
259,cion,21_1
260,inflacion,21_1
261,escenario,21_1
262,converge,21_1
263,horizonte,21_1
264,proyeccion,21_1
265,tasa,21_1
266,politica,21_1
267,monetaria,21_1
268,tpm,21_1
269,hoy,21_1
270,adecuado,21_1
271,cumplir,21_1
272,objetivo,21_1
273,inflacionario,21_1
274,banco,21_1
275,sentido,21_1
276,proyeccion,21_1
277,inflacion,21_1
278,ocho,21_1
279,trimestres,21_1
280,asimilar,21_1
281,objetivo,21_1
282,intermedio,21_1
283,politica,21_1
284,monetaria,21_1
285,resumen,21_1
286,consecuencia,21_1
287,precisamente,21_1
288,supuesto,21_1
289,metodologico,21_1
290,subyace,21_1
291,construccion,21_1
292,proyecciones,21_1
293,consiste,21_1
294,tpm,21_1
295,permanece,21_1
296,constante,21_1
297,proximos,21_1
298,efecto,21_1
299,consejo,21_1
300,estima,21_1
301,supuesto,21_1
302,metodologico,21_1
303,adecuado,21_1
304,cuanto,21_1
305,general,21_1
306,posible,21_1
307,prudente,21_1
308,anticipar,21_1
309,forma,21_1
310,cierta,21_1
311,direccion,21_1
312,movera,21_1
313,politica,21_1
314,monetaria,21_1
315,futuro,21_1
316,balance,21_1
317,riesgo,21_1
318,lugar,21_1
319,abanico,21_1
320,proyeccion,21_1
321,representa,21_1
322,incertidumbre,21_1
323,acompana,21_1
324,proyeccion,21_1
325,creciente,21_1
326,medida,21_1
327,tal,21_1
328,proyeccion,21_1
329,aleja,21_1
330,presente,21_1
331,importante,21_1
332,enfatizar,21_1
333,representacion,21_1
334,incertidumbre,21_1
335,abanico,21_1
336,hace,21_1
337,componentes,21_1
338,varianza,21_1
339,distribucion,21_1
340,probabilidades,21_1
341,vinculada,21_1
342,amplitud,21_1
343,abanico,21_1
344,balance,21_1
345,riesgo,21_1
346,manifiesta,21_1
347,sesgo,21_1
348,distribucion,21_1
349,dispersion,21_1
350,considerada,21_1
351,proyecciones,21_1
352,estima,21_1
353,errores,21_1
354,pronostico,21_1
355,ajustada,21_1
356,virtud,21_1
357,coyuntura,21_1
358,volatilidad,21_1
359,variables,21_1
360,fundamentales,21_1
361,inciden,21_1
362,inflacion,21_1
363,crecimiento,21_1
364,percibe,21_1
365,menor,21_1
366,historica,21_1
367,balance,21_1
368,riesgo,21_1
369,alrededor,21_1
370,proyeccion,21_1
371,modal,21_1
372,inclina,21_1
373,arriba,21_1
374,sesgo,21_1
375,positivo,21_1
376,asignando,21_1
377,probabilidad,21_1
378,ocurrencia,21_1
379,encima,21_1
380,proyeccion,21_1
381,modal,21_1
382,debajo,21_1
383,graficamente,21_1
384,abanico,21_1
385,area,21_1
386,encima,21_1
387,proyeccion,21_1
388,abultada,21_1
389,area,21_1
390,debajo,21_1
391,misma,21_1
392,sentido,21_1
393,inverso,21_1
394,ocurre,21_1
395,trata,21_1
396,sesgo,21_1
397,negativo,21_1
398,palabras,21_1
399,manera,21_1
400,ejemplo,21_1
401,existencia,21_1
402,sesgo,21_1
403,positivo,21_1
404,balance,21_1
405,riesgo,21_1
406,inflacion,21_1
407,indica,21_1
408,probable,21_1
409,econo,21_1
410,transite,21_1
411,caminos,21_1
412,generen,21_1
413,presiones,21_1
414,inflacionarias,21_1
415,escenario,21_1
416,escenario,21_1
417,menores,21_1
418,presiones,21_1
419,inflacionarias,21_1
420,existe,21_1
421,relacion,21_1
422,mecanica,21_1
423,simple,21_1
424,proyecciones,21_1
425,inflacion,21_1
426,cambios,21_1
427,efectivos,21_1
428,previsibles,21_1
429,politica,21_1
430,monetaria,21_1
431,circunstancias,21_1
432,hacen,21_1
433,relacion,21_1
434,compleja,21_1
435,ejemplo,21_1
436,haber,21_1
437,balance,21_1
438,equilibrado,21_1
439,riesgo,21_1
440,cuanto,21_1
441,ocurrencia,21_1
442,escenarios,21_1
443,contrapuestos,21_1
444,sesgado,21_1
445,cuanto,21_1
446,costos,21_1
447,equivocarse,21_1
448,u,21_1
449,direccion,21_1
450,decir,21_1
451,escenarios,21_1
452,pueden,21_1
453,igualmente,21_1
454,probables,21_1
455,toma,21_1
456,decision,21_1
457,da,21_1
458,escenario,21_1
459,equivocado,21_1
460,costos,21_1
461,terminos,21_1
462,inflacion,21_1
463,pueden,21_1
464,mayores,21_1
465,optado,21_1
466,decision,21_1
467,antagonica,21_1
468,escenario,21_1
469,da,21_1
470,justo,21_1
471,contrario,21_1
472,objetivo,21_1
473,politica,21_1
474,monetaria,21_1
475,mantener,21_1
476,inflacion,21_1
477,baja,21_1
478,estable,21_1
479,tiempo,21_1
480,solo,21_1
481,razon,21_1
482,bien,21_1
483,horizonte,21_1
484,ocho,21_1
485,trimestres,21_1
486,foco,21_1
487,preponderante,21_1
488,accion,21_1
489,politica,21_1
490,monetaria,21_1
491,ra,21_1
492,forma,21_1
493,relevante,21_1
494,perspectivas,21_1
495,inflacion,21_1
496,despues,21_1
497,ejemplo,21_1
498,proyeccion,21_1
499,inflacion,21_1
500,ajusta,21_1
501,rango,21_1
502,meta,21_1
503,dentro,21_1
504,horizonte,21_1
505,ocho,21_1
506,trimestres,21_1
507,siguientes,21_1
508,amenaza,21_1
509,ir,21_1
510,encima,21_1
511,despues,21_1
512,consejo,21_1
513,decidir,21_1
514,endu,21_1
515,recer,21_1
516,politica,21_1
517,monetaria,21_1
518,ahora,21_1
519,forma,21_1
520,preventiva,21_1
521,considerando,21_1
522,rezagos,21_1
523,largos,21_1
524,tasa,21_1
525,interes,21_1
526,politica,21_1
527,afecta,21_1
528,inflacion,21_1
529,virtud,21_1
530,razonamiento,21_1
531,similar,21_1
532,ocasiones,21_1
533,proyecciones,21_1
534,inflacion,21_1
535,horizonte,21_1
536,menor,21_1
537,ocho,21_1
538,trimestres,21_1
539,ejemplo,21_1
540,pueden,21_1
541,influir,21_1
542,decisiones,21_1
543,consejo,21_1
544,despues,21_1
545,tendencia,21_1
546,ascendente,21_1
547,inflacion,21_1
548,prolongado,21_1
549,crear,21_1
550,dudas,21_1
551,eficiencia,21_1
552,proyecciones,21_1
553,inflacion,21_1
554,verdadero,21_1
555,compromiso,21_1
556,consejo,21_1
557,objetivo,21_1
558,mantener,21_1
559,inflacion,21_1
560,baja,21_1
561,estable,21_1
562,palabras,21_1
563,fundamental,21_1
564,trayectoria,21_1
565,politica,21_1
566,monetaria,21_1
567,meta,21_1
568,converja,21_1
569,misma,21_1
570,existencia,21_1
571,rezagos,21_1
572,efectos,21_1
573,politica,21_1
574,monetaria,21_1
575,hace,21_1
576,embargo,21_1
577,menos,21_1
578,recomendable,21_1
579,reaccion,21_1
580,hori,21_1
581,zontes,21_1
582,cortos,21_1
583,toda,21_1
584,vez,21_1
585,arriesga,21_1
586,alta,21_1
587,inestabilidad,21_1
588,financiera,21_1
589,conclusion,21_1
590,enfatizado,21_1
591,objetivo,21_1
592,politica,21_1
593,monetaria,21_1
594,mantener,21_1
595,inflacion,21_1
596,baja,21_1
597,estable,21_1
598,permanentemente,21_1
599,solo,21_1
600,razon,21_1
601,horizonte,21_1
602,ocho,21_1
603,trimestres,21_1
604,proyeccion,21_1
605,bajo,21_1
606,supuesto,21_1
607,tpm,21_1
608,constante,21_1
609,proyeccion,21_1
610,inflacion,21_1
611,centro,21_1
612,rango,21_1
613,meta,21_1
614,final,21_1
615,horizonte,21_1
616,proyeccion,21_1
617,solo,21_1
618,ingredientes,21_1
619,metodologicos,21_1
620,consejo,21_1
621,estima,21_1
622,adecuados,21_1
623,cumplir,21_1
624,compromiso,21_1
625,estabilidad,21_1
626,precios,21_1
627,construccion,21_1
628,proyecciones,21_1
629,utilizan,21_1
630,exclusivamente,21_1
631,forma,21_1
632,mecanica,21_1
633,modelos,21_1
634,entregan,21_1
635,vision,21_1
636,entorno,21_1
637,macroeconomico,21_1
638,valiosa,21_1
639,parcial,21_1
640,basada,21_1
641,experiencia,21_1
642,histori,21_1
643,ca,21_1
644,proyecciones,21_1
645,enriquecen,21_1
646,analisis,21_1
647,riesgo,21_1
648,consejo,21_1
649,incorporar,21_1
650,consideraciones,21_1
651,elementos,21_1
652,juicio,21_1
653,relevantes,21_1
654,tomar,21_1
655,decisiones,21_1
656,politica,21_1
657,monetaria,21_1
658,adecuadas,21_1
659,coherentes,21_1
660,proposito,21_1
661,mantener,21_1
662,estabilidad,21_1
663,precios,21_1
664,precios,21_1
665,precios,21_1
666,seccion,21_1
667,analiza,21_1
668,evolucion,21_1
669,reciente,21_1
670,precios,21_1
671,exami,21_1
672,na,21_1
673,interpreta,21_1
674,comportamiento,21_1
675,distintas,21_1
676,mediciones,21_1
677,infla,21_1
678,cion,21_1
679,tendencia,21_1
680,principales,21_1
681,componentes,21_1
682,evolucion,21_1
683,reciente,21_1
684,inflacion,21_1
685,inflacion,21_1
686,ipc,21_1
687,ipcx,21_1
688,ipcx,21_1
689,variacion,21_1
690,porcentual,21_1
691,respecto,21_1
692,inflacion,21_1
693,medida,21_1
694,ipc,21_1
695,llego,21_1
696,anticipado,21_1
697,pesar,21_1
698,cuatrimestre,21_1
699,verificaron,21_1
700,incrementos,21_1
701,pre,21_1
702,cios,21_1
703,anticipado,21_1
704,precio,21_1
705,petroleo,21_1
706,esperaba,21_1
707,permaneciera,21_1
708,barril,21_1
709,ubico,21_1
710,transitoriamente,21_1
711,niveles,21_1
712,superiores,21_1
713,asimismo,21_1
714,observo,21_1
715,ipc,21_1
716,incremento,21_1
717,cambio,21_1
718,previsto,21_1
719,alla,21_1
720,hechos,21_1
721,mediciones,21_1
722,inflacion,21_1
723,subyacente,21_1
724,ipcx,21_1
725,mantuvieron,21_1
726,estables,21_1
727,cuatrimestre,21_1
728,ipcx,21_1
729,excluye,21_1
730,medicion,21_1
731,inflacion,21_1
732,precios,21_1
733,productos,21_1
734,perecibles,21_1
735,combustibles,21_1
736,cerro,21_1
737,incremento,21_1
738,ipcx,21_1
739,xo,21_1
740,xo,21_1
741,xo,21_1
742,xo,21_1
743,xo,21_1
744,resultado,21_1
745,inflacionario,21_1
746,respondio,21_1
747,choques,21_1
748,origen,21_1
749,fuentes,21_1
750,instituto,21_1
751,nacional,21_1
752,banco,21_1
753,exogeno,21_1
754,cuyos,21_1
755,efectos,21_1
756,deben,21_1
757,disiparse,21_1
758,transcurso,21_1
759,inflacion,21_1
760,trimestral,21_1
761,anualizada,21_1
762,tal,21_1
763,dicho,21_1
764,reiteradas,21_1
765,oportunidades,21_1
766,comportamien,21_1
767,inflacion,21_1
768,medida,21_1
769,ipc,21_1
770,explicado,21_1
771,gran,21_1
772,medida,21_1
773,evolucion,21_1
774,precio,21_1
775,internacional,21_1
776,petroleo,21_1
777,transcurso,21_1
778,fluctuaciones,21_1
779,precio,21_1
780,petroleo,21_1
781,afectaron,21_1
782,directamente,21_1
783,precios,21_1
784,internos,21_1
785,combustibles,21_1
786,medida,21_1
787,fondo,21_1
788,estabilizacion,21_1
789,precios,21_1
790,petroleo,21_1
791,fepp,21_1
792,agotaba,21_1
793,recursos,21_1
794,tarifas,21_1
795,transporte,21_1
796,publico,21_1
797,aumentaron,21_1
798,cerca,21_1
799,resultado,21_1
800,precio,21_1
801,petroleo,21_1
802,diesel,21_1
803,mercado,21_1
804,interno,21_1
805,depreciacion,21_1
806,nominal,21_1
807,peso,21_1
808,factor,21_1
809,influyo,21_1
810,reajustes,21_1
811,mostraron,21_1
812,tarifas,21_1
813,servicios,21_1
814,regulados,21_1
815,telefonia,21_1
816,electricidad,21_1
817,obstante,21_1
818,aumentos,21_1
819,verifico,21_1
820,incremento,21_1
821,fuentes,21_1
822,instituto,21_1
823,nacional,21_1
824,banco,21_1
825,inflacion,21_1
826,interna,21_1
827,gracias,21_1
828,trayectoria,21_1
829,mostrado,21_1
830,margenes,21_1
831,comercializacion,21_1
832,comportamiento,21_1
833,vez,21_1
834,debe,21_1
835,crecimiento,21_1
836,ventas,21_1
837,consumo,21_1
838,limito,21_1
839,efecto,21_1
840,inflacion,21_1
841,combustibles,21_1
842,transporte,21_1
843,resto,21_1
844,presiones,21_1
845,costos,21_1
846,precios,21_1
847,consumidor,21_1
848,tiem,21_1
849,aporte,21_1
850,inflacion,21_1
851,po,21_1
852,debe,21_1
853,considerarse,21_1
854,efecto,21_1
855,ganancias,21_1
856,productividad,21_1
857,resto,21_1
858,combustibles,21_1
859,transporte,21_1
860,sector,21_1
861,comercio,21_1
862,mostrado,21_1
863,largo,21_1
864,introduccion,21_1
865,cambios,21_1
866,estructura,21_1
867,competitiva,21_1
868,sec,21_1
869,tor,21_1
870,escenario,21_1
871,supone,21_1
872,recupe,21_1
873,racion,21_1
874,moderada,21_1
875,margenes,21_1
876,comercializacion,21_1
877,horizonte,21_1
878,proyeccion,21_1
879,evolucion,21_1
880,indicadores,21_1
881,inflacion,21_1
882,subyacente,21_1
883,ipcx,21_1
884,ipcx,21_1
885,refuerza,21_1
886,percepcion,21_1
887,alla,21_1
888,presiones,21_1
889,inflacionarias,21_1
890,transitorias,21_1
891,causadas,21_1
892,evolucion,21_1
893,precio,21_1
894,internacional,21_1
895,petro,21_1
896,leo,21_1
897,cambio,21_1
898,presiones,21_1
899,permanentes,21_1
900,u,21_1
901,fw,21_1
902,u,21_1
903,fw,21_1
904,u,21_1
905,fw,21_1
906,inflacion,21_1
907,lado,21_1
908,inflacion,21_1
909,medida,21_1
910,ipcx,21_1
911,aumento,21_1
912,banco,21_1
913,respecto,21_1
914,mostraba,21_1
915,politica,21_1
916,monetaria,21_1
917,pasar,21_1
918,inflacion,21_1
919,ipcx,21_1
920,excluyen,21_1
921,tarifas,21_1
922,servicios,21_1
923,regulados,21_1
924,transporte,21_1
925,precios,21_1
926,ligados,21_1
927,impuestos,21_1
928,precios,21_1
929,combustibles,21_1
930,perecibles,21_1
931,situo,21_1
932,debajo,21_1
933,registrado,21_1
934,espera,21_1
935,indicadores,21_1
936,inflacion,21_1
937,regresen,21_1
938,transcurso,21_1
939,proyeccion,21_1
940,inflacion,21_1
941,bienes,21_1
942,transables,21_1
943,inflacion,21_1
944,bienes,21_1
945,transables,21_1
946,aquellos,21_1
947,ipct,21_1
948,ipctx,21_1
949,directamente,21_1
950,influenciados,21_1
951,desarrollos,21_1
952,mercados,21_1
953,inter,21_1
954,variacion,21_1
955,porcentual,21_1
956,respecto,21_1
957,nacionales,21_1
958,crecio,21_1
959,levemente,21_1
960,respecto,21_1
961,niveles,21_1
962,mostraba,21_1
963,pasado,21_1
964,inflacion,21_1
965,acumulada,21_1
966,doce,21_1
967,grupo,21_1
968,ipct,21_1
969,llego,21_1
970,superior,21_1
971,exhibia,21_1
972,produc,21_1
973,incrementos,21_1
974,precios,21_1
975,combustibles,21_1
976,ipctx,21_1
977,embargo,21_1
978,restantes,21_1
979,bienes,21_1
980,pertenecen,21_1
981,grupo,21_1
982,mostra,21_1
983,ipct,21_1
984,ron,21_1
985,descensos,21_1
986,anuales,21_1
987,precios,21_1
988,pese,21_1
989,depreciacion,21_1
990,nominal,21_1
991,registrada,21_1
992,peso,21_1
993,modo,21_1
994,ipctx,21_1
995,excluye,21_1
996,combustibles,21_1
997,perecibles,21_1
998,asociados,21_1
999,grupo,21_1
1000,transables,21_1
1001,finalizo,21_1
1002,descenso,21_1
1003,xo,21_1
1004,xo,21_1
1005,xo,21_1
1006,xo,21_1
1007,componentes,21_1
1008,inflacion,21_1
1009,bienes,21_1
1010,transables,21_1
1011,fuentes,21_1
1012,instituto,21_1
1013,nacional,21_1
1014,banco,21_1
1015,internacionalmente,21_1
1016,evolucion,21_1
1017,disimil,21_1
1018,precios,21_1
1019,combustibles,21_1
1020,aumentaron,21_1
1021,precios,21_1
1022,bienes,21_1
1023,durables,21_1
1024,mantienen,21_1
1025,deprimidos,21_1
1026,descomposicion,21_1
1027,inflacion,21_1
1028,transables,21_1
1029,variacion,21_1
1030,porcentual,21_1
1031,respecto,21_1
1032,ipctx,21_1
1033,articulos,21_1
1034,vestuario,21_1
1035,bienes,21_1
1036,durables,21_1
1037,electrodomesticos,21_1
1038,blanca,21_1
1039,disminucion,21_1
1040,trasta,21_1
1041,aumento,21_1
1042,cambio,21_1
1043,senalando,21_1
1044,reduccion,21_1
1045,combustibles,21_1
1046,margenes,21_1
1047,ventas,21_1
1048,existen,21_1
1049,diversos,21_1
1050,factores,21_1
1051,permiten,21_1
1052,expli,21_1
1053,car,21_1
1054,reduccion,21_1
1055,margenes,21_1
1056,encuentran,21_1
1057,alta,21_1
1058,des,21_1
1059,ocupacion,21_1
1060,impacto,21_1
1061,consumo,21_1
1062,personas,21_1
1063,aumento,21_1
1064,capacidad,21_1
1065,instalada,21_1
1066,sector,21_1
1067,comercio,21_1
1068,alimentos,21_1
1069,alcances,21_1
1070,cambios,21_1
1071,tecnologicos,21_1
1072,aumentos,21_1
1073,productividad,21_1
1074,punto,21_1
1075,importante,21_1
1076,notar,21_1
1077,aumento,21_1
1078,inversiones,21_1
1079,realizaron,21_1
1080,sector,21_1
1081,comercio,21_1
1082,distribucion,21_1
1083,bienes,21_1
1084,industriales,21_1
1085,evidencia,21_1
1086,indirecta,21_1
1087,margenes,21_1
1088,resulta,21_1
1089,ban,21_1
1090,atractivos,21_1
1091,anticipaba,21_1
1092,incremento,21_1
1093,presiones,21_1
1094,com,21_1
1095,xo,21_1
1096,xo,21_1
1097,xo,21_1
1098,xo,21_1
1099,xo,21_1
1100,petitivas,21_1
1101,etapa,21_1
1102,final,21_1
1103,comercializacion,21_1
1104,modo,21_1
1105,banco,21_1
1106,contraccion,21_1
1107,ventas,21_1
1108,parece,21_1
1109,haber,21_1
1110,inducido,21_1
1111,racionalizacion,21_1
1112,uso,21_1
1113,insumos,21_1
1114,efecto,21_1
1115,positivo,21_1
1116,productividad,21_1
1117,vease,21_1
1118,inflacion,21_1
1119,bienes,21_1
1120,manufacturados,21_1
1121,importables,21_1
1122,precios,21_1
1123,externos,21_1
1124,medido,21_1
1125,ipex,21_1
1126,registro,21_1
1127,au,21_1
1128,mento,21_1
1129,relacion,21_1
1130,mes,21_1
1131,comportamiento,21_1
1132,ligado,21_1
1133,incre,21_1
1134,bienes,21_1
1135,transables,21_1
1136,acuerdo,21_1
1137,medicion,21_1
1138,realiza,21_1
1139,instituto,21_1
1140,nacional,21_1
1141,ine,21_1
1142,representan,21_1
1143,menos,21_1
1144,mitad,21_1
1145,canasta,21_1
1146,ipc,21_1
1147,articulos,21_1
1148,manufacturados,21_1
1149,vestuario,21_1
1150,equipamiento,21_1
1151,vivienda,21_1
1152,automoviles,21_1
1153,gasolinas,21_1
1154,combustibles,21_1
1155,vinculados,21_1
1156,petroleo,21_1
1157,tabaco,21_1
1158,precios,21_1
1159,mento,21_1
1160,precios,21_1
1161,mayoristas,21_1
1162,distintos,21_1
1163,fenomeno,21_1
1164,vez,21_1
1165,afectado,21_1
1166,trayectoria,21_1
1167,precio,21_1
1168,petroleo,21_1
1169,mercados,21_1
1170,externos,21_1
1171,inflacion,21_1
1172,mundial,21_1
1173,lares,21_1
1174,resulto,21_1
1175,inferior,21_1
1176,esperada,21_1
1177,consecuencia,21_1
1178,apreciacion,21_1
1179,dolar,21_1
1180,respecto,21_1
1181,pasado,21_1
1182,escenario,21_1
1183,proyeccion,21_1
1184,incorpora,21_1
1185,efecto,21_1
1186,reciente,21_1
1187,depreciacion,21_1
1188,dolar,21_1
1189,inflacion,21_1
1190,mundial,21_1
1191,precios,21_1
1192,externos,21_1
1193,relevantes,21_1
1194,precios,21_1
1195,productos,21_1
1196,importados,21_1
1197,proximo,21_1
1198,escenario,21_1
1199,contempla,21_1
1200,aumento,21_1
1201,inflacion,21_1
1202,externa,21_1
1203,bienes,21_1
1204,manufacturados,21_1
1205,medida,21_1
1206,proximo,21_1
1207,bienio,21_1
1208,precios,21_1
1209,importaciones,21_1
1210,dola,21_1
1211,res,21_1
1212,medidos,21_1
1213,unitario,21_1
1214,importaciones,21_1
1215,ivum,21_1
1216,mostraron,21_1
1217,incremento,21_1
1218,aumento,21_1
1219,descontado,21_1
1220,efecto,21_1
1221,combustibles,21_1
1222,alcanza,21_1
1223,precios,21_1
1224,internaciones,21_1
1225,bienes,21_1
1226,capital,21_1
1227,intermedios,21_1
1228,distintos,21_1
1229,petroleo,21_1
1230,mostraron,21_1
1231,aumentos,21_1
1232,banco,21_1
1233,respectivamente,21_1
1234,precios,21_1
1235,compras,21_1
1236,exterior,21_1
1237,bienes,21_1
1238,consumo,21_1
1239,ligadas,21_1
1240,inflacion,21_1
1241,bienes,21_1
1242,durables,21_1
1243,nuevamente,21_1
1244,descendieron,21_1
1245,tal,21_1
1246,forma,21_1
1247,res,21_1
1248,pecto,21_1
1249,presentaron,21_1
1250,reduccion,21_1
1251,ello,21_1
1252,considerados,21_1
1253,tres,21_1
1254,cuartos,21_1
1255,precios,21_1
1256,importa,21_1
1257,ivum,21_1
1258,combustibles,21_1
1259,ciones,21_1
1260,consumo,21_1
1261,caida,21_1
1262,factor,21_1
1263,ayuda,21_1
1264,explicar,21_1
1265,ausencia,21_1
1266,presiones,21_1
1267,inflacion,21_1
1268,comportamiento,21_1
1269,bienes,21_1
1270,transables,21_1
1271,precios,21_1
1272,materias,21_1
1273,primas,21_1
1274,precios,21_1
1275,ivum,21_1
1276,ivum,21_1
1277,combustibles,21_1
1278,precios,21_1
1279,materias,21_1
1280,primas,21_1
1281,excepcion,21_1
1282,petroleo,21_1
1283,mantuvieron,21_1
1284,relativamente,21_1
1285,estables,21_1
1286,cuatrimestre,21_1
1287,precios,21_1
1288,productos,21_1
1289,basicos,21_1
1290,commodities,21_1
1291,research,21_1
1292,bureau,21_1
1293,crb,21_1
1294,variacion,21_1
1295,cifra,21_1
1296,descendio,21_1
1297,efecto,21_1
1298,menor,21_1
1299,precio,21_1
1300,petroleo,21_1
1301,ello,21_1
1302,reflejo,21_1
1303,componente,21_1
1304,energia,21_1
1305,banco,21_1
1306,mostrado,21_1
1307,incrementos,21_1
1308,cercanos,21_1
1309,digitos,21_1
1310,concluyo,21_1
1311,agostodiciembre,21_1
1312,aumento,21_1
1313,solo,21_1
1314,tiempo,21_1
1315,precios,21_1
1316,bienes,21_1
1317,industriales,21_1
1318,mostrado,21_1
1319,incremento,21_1
1320,trimestres,21_1
1321,registraron,21_1
1322,descenso,21_1
1323,mencionado,21_1
1324,precios,21_1
1325,ivum,21_1
1326,consumo,21_1
1327,tcm,21_1
1328,mostrado,21_1
1329,aumento,21_1
1330,ganaderia,21_1
1331,incremento,21_1
1332,tcm,21_1
1333,precios,21_1
1334,materias,21_1
1335,primas,21_1
1336,estables,21_1
1337,incluso,21_1
1338,ivum,21_1
